symbol,refseq,tag,ensembl_id,gene_id
TMPRSS11B,NM_182502.3,MANE Select,ENST00000332644.6,132724
YTHDC1,NM_001031732.4,MANE Select,ENST00000344157.9,91746
TMPRSS11E,NM_014058.4,MANE Select,ENST00000305363.9,28983
UGT2B17,NM_001077.4,MANE Select,ENST00000317746.3,7367
UGT2B15,NM_001076.4,MANE Select,ENST00000338206.6,7366
UGT2B10,NM_001075.6,MANE Select,ENST00000265403.12,7365
UGT2A3,NM_024743.4,MANE Select,ENST00000251566.9,79799
UGT2B7,NM_001074.4,MANE Select,ENST00000305231.12,7364
UGT2B11,NM_001073.3,MANE Select,ENST00000446444.2,10720
UGT2B28,NM_053039.2,MANE Select,ENST00000335568.10,54490
UGT2B4,NM_021139.3,MANE Select,ENST00000305107.7,7363
UGT2A1,NM_001252275.3,MANE Select,ENST00000286604.9,10941
UGT2A2,NM_001105677.2,MANE Select,ENST00000604629.6,574537
SULT1B1,NM_014465.4,MANE Select,ENST00000310613.8,27284
SULT1E1,NM_005420.3,MANE Select,ENST00000226444.4,6783
CSN1S1,NM_001890.2,MANE Select,ENST00000246891.9,1446
CSN2,NM_001891.4,MANE Select,ENST00000353151.4,1447
STATH,NM_003154.3,MANE Select,ENST00000246895.9,6779
HTN3,NM_000200.3,MANE Select,ENST00000673563.1,3347
HTN1,NM_002159.4,MANE Select,ENST00000246896.8,3346
PRR27,NM_214711.4,MANE Select,ENST00000344526.10,401137
ODAM,NM_017855.4,MANE Select,ENST00000683306.1,54959
FDCSP,NM_152997.4,MANE Select,ENST00000317987.6,260436
CSN3,NM_001394997.1,MANE Select,ENST00000304954.4,1448
CABS1,NM_033122.4,MANE Select,ENST00000273936.6,85438
SMR3A,NM_012390.4,MANE Select,ENST00000226460.5,26952
SMR3B,NM_006685.4,MANE Select,ENST00000304915.8,10879
OPRPN,NM_021225.5,MANE Select,ENST00000399575.7,58503
MUC7,NM_152291.3,MANE Select,ENST00000304887.6,4589
AMTN,NM_212557.4,MANE Select,ENST00000339336.9,401138
AMBN,NM_016519.6,MANE Select,ENST00000322937.10,258
ENAM,NM_031889.3,MANE Select,ENST00000396073.4,10117
JCHAIN,NM_144646.4,MANE Select,ENST00000254801.9,3512
UTP3,NM_020368.3,MANE Select,ENST00000254803.4,57050
RUFY3,NM_001037442.4,MANE Select,ENST00000381006.8,22902
GRSF1,NM_002092.4,MANE Select,ENST00000254799.11,2926
MOB1B,NM_173468.4,MANE Select,ENST00000309395.7,92597
DCK,NM_000788.3,MANE Select,ENST00000286648.10,1633
SLC4A4,NM_001098484.3,MANE Select,ENST00000264485.11,8671
SLC4A4,NM_003759.4,MANE Plus Clinical,ENST00000340595.4,8671
GC,NM_000583.4,MANE Select,ENST00000273951.13,2638
NPFFR2,NM_004885.3,MANE Select,ENST00000308744.12,10886
ADAMTS3,NM_014243.3,MANE Select,ENST00000286657.10,9508
COX18,NM_001297732.2,MANE Select,ENST00000507544.3,285521
ANKRD17,NM_032217.5,MANE Select,ENST00000358602.9,26057
ALB,NM_000477.7,MANE Select,ENST00000295897.9,213
AFP,NM_001134.3,MANE Select,ENST00000395792.7,174
AFM,NM_001133.2,MANE Select,ENST00000226355.5,173
RASSF6,NM_177532.5,MANE Select,ENST00000307439.10,166824
CXCL8,NM_000584.4,MANE Select,ENST00000307407.8,3576
CXCL6,NM_002993.4,MANE Select,ENST00000226317.10,6372
PF4V1,NM_002620.4,MANE Select,ENST00000226524.4,5197
CXCL1,NM_001511.4,MANE Select,ENST00000395761.4,2919
PF4,NM_002619.4,MANE Select,ENST00000296029.4,5196
PPBP,NM_002704.3,MANE Select,ENST00000296028.4,5473
CXCL5,NM_002994.5,MANE Select,ENST00000296027.5,6374
CXCL3,NM_002090.3,MANE Select,ENST00000296026.4,2921
CXCL2,NM_002089.4,MANE Select,ENST00000508487.3,2920
MTHFD2L,NM_001144978.3,MANE Select,ENST00000325278.7,441024
EPGN,NM_001270989.2,MANE Select,ENST00000413830.6,255324
EREG,NM_001432.3,MANE Select,ENST00000244869.3,2069
AREG,NM_001657.4,MANE Select,ENST00000395748.8,374
BTC,NM_001729.4,MANE Select,ENST00000395743.8,685
PARM1,NM_015393.4,MANE Select,ENST00000307428.7,25849
RCHY1,NM_015436.4,MANE Select,ENST00000324439.10,25898
THAP6,NM_144721.6,MANE Select,ENST00000311638.7,152815
ODAPH,NM_178497.5,MANE Select,ENST00000311623.9,152816
CDKL2,NM_001330724.2,MANE Select,ENST00000307465.9,8999
G3BP2,NM_203505.3,MANE Select,ENST00000359707.9,9908
USO1,NM_003715.4,MANE Select,ENST00000514213.7,8615
PPEF2,NM_006239.3,MANE Select,ENST00000286719.12,5470
NAAA,NM_014435.4,MANE Select,ENST00000286733.9,27163
SDAD1,NM_018115.4,MANE Select,ENST00000356260.10,55153
CXCL9,NM_002416.3,MANE Select,ENST00000264888.6,4283
ART3,NM_001130016.3,MANE Select,ENST00000355810.9,419
CXCL10,NM_001565.4,MANE Select,ENST00000306602.3,3627
CXCL11,NM_005409.5,MANE Select,ENST00000306621.8,6373
NUP54,NM_017426.4,MANE Select,ENST00000264883.8,53371
SCARB2,NM_005506.4,MANE Select,ENST00000264896.8,950
FAM47E,NM_001136570.3,MANE Select,ENST00000424749.7,100129583
STBD1,NM_003943.5,MANE Select,ENST00000237642.7,8987
CCDC158,NM_001394954.1,MANE Select,ENST00000682701.1,339965
SHROOM3,NM_020859.4,MANE Select,ENST00000296043.7,57619
SOWAHB,NM_001029870.3,MANE Select,ENST00000334306.4,345079
SEPTIN11,NM_018243.4,MANE Select,ENST00000264893.11,55752
CCNI,NM_006835.3,MANE Select,ENST00000237654.9,10983
CCNG2,NM_004354.3,MANE Select,ENST00000316355.10,901
CXCL13,NM_001371558.1,MANE Select,ENST00000682537.1,10563
CNOT6L,NM_144571.3,MANE Select,ENST00000504123.7,246175
MRPL1,NM_020236.4,MANE Select,ENST00000315567.13,65008
FRAS1,NM_025074.7,MANE Select,ENST00000512123.4,80144
ANXA3,NM_005139.3,MANE Select,ENST00000264908.11,306
BMP2K,NM_198892.2,MANE Select,ENST00000502613.3,55589
PAQR3,NM_001040202.2,MANE Select,ENST00000512733.5,152559
NAA11,NM_032693.3,MANE Select,ENST00000286794.5,84779
GK2,NM_033214.3,MANE Select,ENST00000358842.5,2712
ANTXR2,NM_058172.6,MANE Select,ENST00000403729.7,118429
PRDM8,NM_001099403.2,MANE Select,ENST00000415738.3,56978
FGF5,NM_004464.4,MANE Select,ENST00000312465.12,2250
CFAP299,NM_152770.3,MANE Select,ENST00000358105.8,255119
BMP3,NM_001201.5,MANE Select,ENST00000282701.4,651
PRKG2,NM_006259.3,MANE Select,ENST00000264399.6,5593
RASGEF1B,NM_152545.3,MANE Select,ENST00000264400.7,153020
HNRNPD,NM_031370.3,MANE Select,ENST00000313899.12,3184
HNRNPDL,NM_031372.4,MANE Select,ENST00000295470.10,9987
ENOPH1,NM_021204.5,MANE Select,ENST00000273920.8,58478
TMEM150C,NM_001080506.3,MANE Select,ENST00000449862.7,441027
SCD5,NM_001037582.3,MANE Select,ENST00000319540.9,79966
SEC31A,NM_001077207.4,MANE Select,ENST00000395310.7,22872
THAP9,NM_024672.6,MANE Select,ENST00000302236.10,79725
LIN54,NM_194282.4,MANE Select,ENST00000340417.8,132660
COPS4,NM_016129.3,MANE Select,ENST00000264389.7,51138
PLAC8,NM_016619.3,MANE Select,ENST00000311507.9,51316
COQ2,NM_001358921.2,MANE Select,ENST00000647002.2,27235
HPSE,NM_001098540.3,MANE Select,ENST00000311412.10,10855
HELQ,NM_133636.5,MANE Select,ENST00000295488.8,113510
MRPS18C,NM_016067.4,MANE Select,ENST00000295491.9,51023
ABRAXAS1,NM_139076.3,MANE Select,ENST00000321945.12,84142
GPAT3,NM_032717.5,MANE Select,ENST00000264409.5,84803
NKX6-1,NM_006168.3,MANE Select,ENST00000295886.5,4825
CDS1,NM_001263.4,MANE Select,ENST00000295887.6,1040
WDFY3,NM_014991.6,MANE Select,ENST00000295888.9,23001
ARHGAP24,NM_001025616.3,MANE Select,ENST00000395184.6,83478
MAPK10,NM_138982.4,MANE Select,ENST00000641462.2,5602
PTPN13,NM_080683.3,MANE Select,ENST00000411767.7,5783
SLC10A6,NM_197965.3,MANE Select,ENST00000273905.7,345274
C4orf36,NM_144645.4,MANE Select,ENST00000295898.8,132989
AFF1,NM_001166693.3,MANE Select,ENST00000395146.9,4299
KLHL8,NM_020803.5,MANE Select,ENST00000273963.10,57563
HSD17B13,NM_178135.5,MANE Select,ENST00000328546.5,345275
HSD17B11,NM_016245.5,MANE Select,ENST00000358290.9,51170
NUDT9,NM_024047.5,MANE Select,ENST00000302174.9,53343
SPARCL1,NM_004684.6,MANE Select,ENST00000282470.11,8404
DSPP,NM_014208.3,MANE Select,ENST00000651931.1,1834
DMP1,NM_004407.4,MANE Select,ENST00000339673.11,1758
IBSP,NM_004967.4,MANE Select,ENST00000226284.7,3381
MEPE,NM_020203.6,MANE Select,ENST00000361056.4,56955
SPP1,NM_001040058.2,MANE Select,ENST00000395080.8,6696
PKD2,NM_000297.4,MANE Select,ENST00000237596.7,5311
ABCG2,NM_004827.3,MANE Select,ENST00000237612.8,9429
PPM1K,NM_152542.5,MANE Select,ENST00000608933.6,152926
HERC6,NM_017912.4,MANE Select,ENST00000264346.12,55008
HERC5,NM_016323.4,MANE Select,ENST00000264350.8,51191
PYURF,NM_032906.5,MANE Select,ENST00000273968.5,100996939
PIGY,NM_001042616.3,MANE Select,ENST00000527353.2,84992
HERC3,NM_014606.3,MANE Select,ENST00000402738.6,8916
NAP1L5,NM_153757.4,MANE Select,ENST00000323061.7,266812
FAM13A,NM_014883.4,MANE Select,ENST00000264344.10,10144
TIGD2,NM_145715.3,MANE Select,ENST00000603357.3,166815
GPRIN3,NM_198281.3,MANE Select,ENST00000609438.2,285513
SNCA,NM_000345.4,MANE Select,ENST00000394991.8,6622
MMRN1,NM_007351.3,MANE Select,ENST00000264790.7,22915
CCSER1,NM_001145065.2,MANE Select,ENST00000509176.6,401145
GRID2,NM_001510.4,MANE Select,ENST00000282020.9,2895
ATOH1,NM_005172.2,MANE Select,ENST00000306011.6,474
SMARCAD1,NM_020159.5,MANE Select,ENST00000354268.9,56916
HPGDS,NM_014485.3,MANE Select,ENST00000295256.10,27306
PDLIM5,NM_006457.5,MANE Select,ENST00000317968.9,10611
BMPR1B,NM_001203.3,MANE Select,ENST00000515059.6,658
UNC5C,NM_003728.4,MANE Select,ENST00000453304.6,8633
PDHA2,NM_005390.5,MANE Select,ENST00000295266.6,5161
STPG2,NM_174952.3,MANE Select,ENST00000295268.4,285555
RAP1GDS1,NM_001100427.2,MANE Select,ENST00000408927.8,5910
TSPAN5,NM_005723.4,MANE Select,ENST00000305798.8,10098
EIF4E,NM_001968.5,MANE Select,ENST00000450253.7,1977
METAP1,NM_015143.3,MANE Select,ENST00000296411.11,23173
ADH5,NM_000671.4,MANE Select,ENST00000296412.14,128
ADH4,NM_000670.5,MANE Select,ENST00000265512.12,127
ADH6,NM_001102470.2,MANE Select,ENST00000394899.6,130
ADH1A,NM_000667.4,MANE Select,ENST00000209668.3,124
ADH1B,NM_000668.6,MANE Select,ENST00000305046.13,125
ADH1C,NM_000669.5,MANE Select,ENST00000515683.6,126
ADH7,NM_000673.7,MANE Select,ENST00000437033.7,131
C4orf17,NM_032149.3,MANE Select,ENST00000326581.9,84103
TRMT10A,NM_001134665.3,MANE Select,ENST00000394876.7,93587
MTTP,NM_001386140.1,MANE Select,ENST00000265517.10,4547
C4orf54,NM_001354435.2,MANE Select,ENST00000511828.2,285556
DAPP1,NM_014395.3,MANE Select,ENST00000512369.2,27071
LAMTOR3,NM_021970.4,MANE Select,ENST00000499666.7,8649
DNAJB14,NM_001031723.4,MANE Select,ENST00000442697.7,79982
H2AZ1,NM_002106.4,MANE Select,ENST00000296417.6,3015
DDIT4L,NM_145244.4,MANE Select,ENST00000273990.6,115265
EMCN,NM_016242.4,MANE Select,ENST00000296420.9,51705
PPP3CA,NM_000944.5,MANE Select,ENST00000394854.8,5530
BANK1,NM_017935.5,MANE Select,ENST00000322953.9,55024
SLC39A8,NM_001135146.2,MANE Select,ENST00000356736.5,64116
NFKB1,NM_003998.4,MANE Select,ENST00000226574.9,4790
MANBA,NM_005908.4,MANE Select,ENST00000647097.2,4126
UBE2D3,NM_181891.3,MANE Select,ENST00000453744.7,7323
CISD2,NM_001008388.5,MANE Select,ENST00000273986.10,493856
SLC9B1,NM_139173.4,MANE Select,ENST00000296422.12,150159
SLC9B2,NM_178833.7,MANE Select,ENST00000394785.9,133308
BDH2,NM_020139.4,MANE Select,ENST00000296424.9,56898
CENPE,NM_001813.3,MANE Select,ENST00000265148.9,1062
TACR3,NM_001059.3,MANE Select,ENST00000304883.3,6870
CXXC4,NM_025212.4,MANE Select,ENST00000394767.3,80319
TET2,NM_001127208.3,MANE Select,ENST00000380013.9,54790
PPA2,NM_176869.3,MANE Select,ENST00000341695.10,27068
ARHGEF38,NM_001242729.2,MANE Select,ENST00000420470.3,54848
INTS12,NM_020395.4,MANE Select,ENST00000340139.10,57117
GSTCD,NM_001370181.1,MANE Select,ENST00000515279.6,79807
NPNT,NM_001033047.3,MANE Select,ENST00000379987.7,255743
TBCK,NM_001163435.3,MANE Select,ENST00000394708.7,93627
AIMP1,NM_001142416.2,MANE Select,ENST00000672341.1,9255
GIMD1,NM_001195138.2,MANE Select,ENST00000638719.4,100507096
DKK2,NM_014421.3,MANE Select,ENST00000285311.8,27123
PAPSS1,NM_005443.5,MANE Select,ENST00000265174.5,9061
SGMS2,NM_001375905.1,MANE Select,ENST00000690982.1,166929
CYP2U1,NM_183075.3,MANE Select,ENST00000332884.11,113612
HADH,NM_005327.7,MANE Select,ENST00000309522.8,3033
LEF1,NM_016269.5,MANE Select,ENST00000265165.6,51176
RPL34,NM_001319236.2,MANE Select,ENST00000394667.8,6164
OSTC,NM_021227.4,MANE Select,ENST00000361564.9,58505
ETNPPL,NM_031279.4,MANE Select,ENST00000296486.8,64850
COL25A1,NM_198721.4,MANE Select,ENST00000399132.6,84570
SEC24B,NM_006323.5,MANE Select,ENST00000265175.5,10427
MCUB,NM_017918.5,MANE Select,ENST00000394650.7,55013
CASP6,NM_001226.4,MANE Select,ENST00000265164.7,839
PLA2G12A,NM_030821.5,MANE Select,ENST00000243501.10,81579
CFI,NM_000204.5,MANE Select,ENST00000394634.7,3426
GAR1,NM_018983.4,MANE Select,ENST00000226796.7,54433
RRH,NM_006583.5,MANE Select,ENST00000317735.7,10692
LRIT3,NM_198506.5,MANE Select,ENST00000594814.6,345193
EGF,NM_001963.6,MANE Select,ENST00000265171.10,1950
ELOVL6,NM_024090.3,MANE Select,ENST00000302274.8,79071
ENPEP,NM_001977.4,MANE Select,ENST00000265162.10,2028
PITX2,NM_000325.6,MANE Select,ENST00000644743.1,5308
FAM241A,NM_152400.3,MANE Select,ENST00000309733.6,132720
AP1AR,NM_018569.6,MANE Select,ENST00000274000.10,55435
TIFA,NM_052864.3,MANE Select,ENST00000361717.4,92610
ALPK1,NM_025144.4,MANE Select,ENST00000650871.1,80216
NEUROG2,NM_024019.4,MANE Select,ENST00000313341.4,63973
ZGRF1,NM_018392.5,MANE Select,ENST00000505019.6,55345
LARP7,NM_016648.4,MANE Select,ENST00000344442.10,51574
ANK2,NM_001148.6,MANE Select,ENST00000357077.9,287
CAMK2D,NM_001321571.2,MANE Select,ENST00000511664.6,817
ARSJ,NM_024590.4,MANE Select,ENST00000315366.8,79642
UGT8,NM_001128174.3,MANE Select,ENST00000310836.11,7368
NDST4,NM_022569.3,MANE Select,ENST00000264363.7,64579
TRAM1L1,NM_152402.3,MANE Select,ENST00000310754.5,133022
NDST3,NM_004784.3,MANE Select,ENST00000296499.6,9348
PRSS12,NM_003619.4,MANE Select,ENST00000296498.3,8492
METTL14,NM_020961.4,MANE Select,ENST00000388822.10,57721
SEC24D,NM_014822.4,MANE Select,ENST00000280551.11,9871
SYNPO2,NM_133477.3,MANE Select,ENST00000307142.9,171024
MYOZ2,NM_016599.5,MANE Select,ENST00000307128.6,51778
USP53,NM_001371395.1,MANE Select,ENST00000692078.1,54532
C4orf3,NM_001001701.4,MANE Select,ENST00000504110.2,401152
FABP2,NM_000134.4,MANE Select,ENST00000274024.4,2169
PDE5A,NM_001083.4,MANE Select,ENST00000354960.8,8654
MAD2L1,NM_002358.4,MANE Select,ENST00000296509.11,4085
PRDM5,NM_018699.4,MANE Select,ENST00000264808.8,11107
NDNF,NM_024574.4,MANE Select,ENST00000379692.9,79625
TNIP3,NM_024873.6,MANE Select,ENST00000057513.8,79931
QRFPR,NM_198179.3,MANE Select,ENST00000394427.3,84109
ANXA5,NM_001154.4,MANE Select,ENST00000296511.10,308
SMIM43,NM_001384332.1,MANE Select,ENST00000643802.2,132332
EXOSC9,NM_005033.3,MANE Select,ENST00000243498.10,5393
CCNA2,NM_001237.5,MANE Select,ENST00000274026.10,890
BBS7,NM_176824.3,MANE Select,ENST00000264499.9,55212
TRPC3,NM_001130698.2,MANE Select,ENST00000379645.8,7222
KIAA1109,NM_001384125.1,MANE Select,ENST00000679879.1,84162
ADAD1,NM_139243.4,MANE Select,ENST00000296513.7,132612
IL2,NM_000586.4,MANE Select,ENST00000226730.5,3558
IL21,NM_021803.4,MANE Select,ENST00000648588.1,59067
BBS12,NM_152618.3,MANE Select,ENST00000314218.8,166379
FGF2,NM_001361665.2,MANE Select,ENST00000644866.2,2247
NUDT6,NM_007083.5,MANE Select,ENST00000304430.10,11162
SPATA5,NM_145207.3,MANE Select,ENST00000274008.5,166378
SPRY1,NM_001258038.2,MANE Select,ENST00000651917.1,10252
ANKRD50,NM_020337.3,MANE Select,ENST00000504087.6,57182
FAT4,NM_001291303.3,MANE Select,ENST00000394329.9,79633
INTU,NM_015693.4,MANE Select,ENST00000335251.11,27152
SLC25A31,NM_031291.4,MANE Select,ENST00000281154.6,83447
HSPA4L,NM_014278.4,MANE Select,ENST00000296464.9,22824
PLK4,NM_014264.5,MANE Select,ENST00000270861.10,10733
MFSD8,NM_001371596.2,MANE Select,ENST00000641686.2,256471
ABHD18,NM_001358451.3,MANE Select,ENST00000645843.2,80167
LARP1B,NM_018078.4,MANE Select,ENST00000326639.11,55132
PGRMC2,NM_006320.6,MANE Select,ENST00000296425.10,10424
JADE1,NM_199320.4,MANE Select,ENST00000226319.11,79960
SCLT1,NM_144643.4,MANE Select,ENST00000281142.10,132320
C4orf33,NM_001099783.2,MANE Select,ENST00000425929.6,132321
PCDH10,NM_032961.3,MANE Select,ENST00000264360.7,57575
PABPC4L,NM_001114734.2,MANE Select,ENST00000421491.4,132430
PCDH18,NM_019035.5,MANE Select,ENST00000344876.9,54510
SLC7A11,NM_014331.4,MANE Select,ENST00000280612.9,23657
NOCT,NM_012118.4,MANE Select,ENST00000280614.4,25819
ELF2,NM_001331036.3,MANE Select,ENST00000686138.1,1998
MGARP,NM_032623.4,MANE Select,ENST00000398955.2,84709
NDUFC1,NM_001184989.2,MANE Select,ENST00000394223.2,4717
NAA15,NM_057175.5,MANE Select,ENST00000296543.10,80155
RAB33B,NM_031296.3,MANE Select,ENST00000305626.6,83452
SETD7,NM_030648.4,MANE Select,ENST00000274031.8,80854
MGST2,NM_002413.5,MANE Select,ENST00000265498.6,4258
MAML3,NM_018717.5,MANE Select,ENST00000509479.6,55534
SCOC,NM_001153484.2,MANE Select,ENST00000608372.6,60592
CLGN,NM_004362.3,MANE Select,ENST00000325617.10,1047
MGAT4D,NM_001277353.2,MANE Select,ENST00000511113.6,152586
ELMOD2,NM_153702.4,MANE Select,ENST00000323570.8,255520
UCP1,NM_021833.5,MANE Select,ENST00000262999.4,7350
TBC1D9,NM_015130.3,MANE Select,ENST00000442267.3,23158
RNF150,NM_020724.2,MANE Select,ENST00000515673.7,57484
ZNF330,NM_014487.6,MANE Select,ENST00000262990.9,27309
IL15,NM_000585.5,MANE Select,ENST00000320650.9,3600
INPP4B,NM_001101669.3,MANE Select,ENST00000262992.9,8821
USP38,NM_032557.6,MANE Select,ENST00000307017.9,84640
GAB1,NM_002039.4,MANE Select,ENST00000262994.9,2549
SMARCA5,NM_003601.4,MANE Select,ENST00000283131.4,8467
FREM3,NM_001168235.2,MANE Select,ENST00000329798.5,166752
GYPE,NM_198682.3,MANE Select,ENST00000358615.9,2996
GYPB,NM_002100.6,MANE Select,ENST00000502664.6,2994
GYPA,NM_002099.8,MANE Select,ENST00000641688.3,2993
HHIP,NM_022475.3,MANE Select,ENST00000296575.8,64399
ANAPC10,NM_001256706.2,MANE Select,ENST00000507656.6,10393
ABCE1,NM_002940.3,MANE Select,ENST00000296577.9,6059
OTUD4,NM_001366057.1,MANE Select,ENST00000447906.8,54726
SMAD1,NM_005900.3,MANE Select,ENST00000302085.9,4086
MMAA,NM_172250.3,MANE Select,ENST00000649156.2,166785
C4orf51,NM_001080531.3,MANE Select,ENST00000438731.7,646603
ZNF827,NM_001306215.2,MANE Select,ENST00000508784.6,152485
LSM6,NM_007080.3,MANE Select,ENST00000296581.11,11157
REELD1,NM_001354631.1,MANE Select,ENST00000623665.2,345051
SLC10A7,NM_001029998.6,MANE Select,ENST00000335472.12,84068
POU4F2,NM_004575.3,MANE Select,ENST00000281321.3,5458
TTC29,NM_031956.4,MANE Select,ENST00000325106.9,83894
EDNRA,NM_001957.4,MANE Select,ENST00000651419.1,1909
TMEM184C,NM_018241.3,MANE Select,ENST00000296582.8,55751
PRMT9,NM_138364.4,MANE Select,ENST00000322396.7,90826
ARHGAP10,NM_024605.4,MANE Select,ENST00000336498.8,79658
NR3C2,NM_000901.5,MANE Select,ENST00000358102.8,4306
IQCM,NM_001363507.2,MANE Select,ENST00000636793.2,285423
DCLK2,NM_001040260.4,MANE Select,ENST00000296550.12,166614
LRBA,NM_001364905.1,MANE Select,ENST00000651943.2,987
MAB21L2,NM_006439.5,MANE Select,ENST00000317605.6,10586
RPS3A,NM_001006.5,MANE Select,ENST00000274065.9,6189
SH3D19,NM_001378122.1,MANE Select,ENST00000604030.7,152503
PRSS48,NM_183375.5,MANE Select,ENST00000455694.7,345062
FHIP1A,NM_001109977.3,MANE Select,ENST00000435205.6,729830
GATB,NM_004564.3,MANE Select,ENST00000263985.11,5188
FBXW7,NM_001349798.2,MANE Select,ENST00000281708.10,55294
TMEM154,NM_152680.3,MANE Select,ENST00000304385.8,201799
TIGD4,NM_145720.4,MANE Select,ENST00000304337.3,201798
ARFIP1,NM_001025595.3,MANE Select,ENST00000353617.7,27236
FHDC1,NM_001371116.1,MANE Select,ENST00000511601.6,85462
TRIM2,NM_015271.5,MANE Select,ENST00000338700.10,23321
MND1,NM_032117.4,MANE Select,ENST00000240488.8,84057
TMEM131L,NM_001131007.2,MANE Select,ENST00000409959.8,23240
TLR2,NM_001318789.2,MANE Select,ENST00000642700.2,7097
RNF175,NM_173662.4,MANE Select,ENST00000347063.9,285533
SFRP2,NM_003013.3,MANE Select,ENST00000274063.5,6423
DCHS2,NM_001358235.2,MANE Select,ENST00000357232.10,54798
PLRG1,NM_002669.4,MANE Select,ENST00000499023.7,5356
FGB,NM_005141.5,MANE Select,ENST00000302068.9,2244
FGA,NM_021871.4,MANE Select,ENST00000403106.8,2243
FGG,NM_021870.3,MANE Select,ENST00000336098.8,2266
LRAT,NM_004744.5,MANE Select,ENST00000336356.4,9227
RBM46,NM_144979.5,MANE Select,ENST00000281722.8,166863
NPY2R,NM_000910.4,MANE Select,ENST00000329476.4,4887
MAP9,NM_001039580.2,MANE Select,ENST00000311277.9,79884
GUCY1A1,NM_001130682.3,MANE Select,ENST00000506455.6,2982
GUCY1B1,NM_000857.5,MANE Select,ENST00000264424.13,2983
ASIC5,NM_017419.3,MANE Select,ENST00000537611.3,51802
TDO2,NM_005651.4,MANE Select,ENST00000536354.3,6999
CTSO,NM_001334.3,MANE Select,ENST00000433477.4,1519
PDGFC,NM_016205.3,MANE Select,ENST00000502773.6,56034
GLRB,NM_000824.5,MANE Select,ENST00000264428.9,2743
GRIA2,NM_001083619.3,MANE Select,ENST00000264426.14,2891
GASK1B,NM_001128424.2,MANE Select,ENST00000585682.6,51313
TMEM144,NM_018342.5,MANE Select,ENST00000296529.11,55314
RXFP1,NM_021634.4,MANE Select,ENST00000307765.10,59350
C4orf46,NM_001008393.4,MANE Select,ENST00000379205.5,201725
ETFDH,NM_004453.4,MANE Select,ENST00000511912.6,2110
PPID,NM_005038.3,MANE Select,ENST00000307720.4,5481
FNIP2,NM_020840.3,MANE Select,ENST00000264433.11,57600
C4orf45,NM_152543.3,MANE Select,ENST00000434826.3,152940
RAPGEF2,NM_001394067.2,MANE Select,ENST00000691494.1,9693
FSTL5,NM_020116.5,MANE Select,ENST00000306100.10,56884
NAF1,NM_138386.3,MANE Select,ENST00000274054.3,92345
NPY1R,NM_000909.6,MANE Select,ENST00000296533.3,4886
NPY5R,NM_006174.4,MANE Select,ENST00000338566.8,4889
TKTL2,NM_032136.5,MANE Select,ENST00000280605.5,84076
TMA16,NM_018352.3,MANE Select,ENST00000358572.10,55319
MARCHF1,NM_001394959.1,MANE Select,ENST00000514618.6,55016
SMIM31,NM_001352885.1,MANE Select,ENST00000507311.1,100505989
APELA,NM_001297550.2,MANE Select,ENST00000507152.6,100506013
TRIM61,NM_001012414.3,MANE Select,ENST00000329314.6,391712
TRIM60,NM_152620.3,MANE Select,ENST00000512596.6,166655
TRIM75,NM_001396070.1,MANE Select,ENST00000503032.3,391714
TMEM192,NM_001100389.2,MANE Select,ENST00000306480.11,201931
KLHL2,NM_007246.4,MANE Select,ENST00000226725.11,11275
GK3P,NM_001395953.1,MANE Select,ENST00000505354.3,2713
MSMO1,NM_006745.5,MANE Select,ENST00000261507.11,6307
CPE,NM_001873.4,MANE Select,ENST00000402744.9,1363
TLL1,NM_012464.5,MANE Select,ENST00000061240.7,7092
SPOCK3,NM_001040159.2,MANE Select,ENST00000357545.9,50859
ANXA10,NM_007193.5,MANE Select,ENST00000359299.8,11199
DDX60,NM_017631.6,MANE Select,ENST00000393743.8,55601
DDX60L,NM_001012967.3,MANE Select,ENST00000682922.1,91351
PALLD,NM_001166108.2,MANE Select,ENST00000505667.6,23022
CBR4,NM_032783.5,MANE Select,ENST00000306193.8,84869
SH3RF1,NM_020870.4,MANE Select,ENST00000284637.14,57630
NEK1,NM_001199397.3,MANE Select,ENST00000507142.6,4750
CLCN3,NM_001829.4,MANE Select,ENST00000513761.6,1182
HPF1,NM_017867.3,MANE Select,ENST00000393381.3,54969
MFAP3L,NM_021647.8,MANE Select,ENST00000361618.4,9848
AADAT,NM_016228.4,MANE Select,ENST00000337664.9,51166
GALNTL6,NM_001034845.3,MANE Select,ENST00000506823.6,442117
GALNT7,NM_017423.3,MANE Select,ENST00000265000.9,51809
HMGB2,NM_002129.4,MANE Select,ENST00000296503.10,3148
SAP30,NM_003864.4,MANE Select,ENST00000296504.4,8819
SCRG1,NM_007281.4,MANE Select,ENST00000296506.8,11341
HAND2,NM_021973.3,MANE Select,ENST00000359562.4,9464
FBXO8,NM_012180.3,MANE Select,ENST00000393674.7,26269
CEP44,NM_001040157.3,MANE Select,ENST00000503780.6,80817
HPGD,NM_000860.6,MANE Select,ENST00000296522.11,3248
GLRA3,NM_006529.4,MANE Select,ENST00000274093.8,8001
ADAM29,NM_014269.4,MANE Select,ENST00000359240.7,11086
GPM6A,NM_201591.3,MANE Select,ENST00000393658.7,2823
WDR17,NM_181265.4,MANE Select,ENST00000508596.6,116966
SPATA4,NM_144644.4,MANE Select,ENST00000280191.7,132851
ASB5,NM_080874.4,MANE Select,ENST00000296525.7,140458
SPCS3,NM_021928.4,MANE Select,ENST00000503362.2,60559
